Date,Open,High,Low,Close,Adj Close,Volume
2022-10-10,784.9500122070312,794.7999877929688,779.7000122070312,792.3499755859375,784.35595703125,3519416
2022-10-11,797.5,797.5,776.0,780.2999877929688,772.4275512695312,3699862
2022-10-12,780.2999877929688,781.3499755859375,769.2000122070312,775.5499877929688,767.7254638671875,5984299
2022-10-13,775.0,779.0,767.6500244140625,768.9000244140625,761.142578125,2842056
2022-10-14,779.9500122070312,779.9500122070312,763.0499877929688,765.9500122070312,758.2223510742188,3608210
2022-10-17,761.0,771.0,759.8499755859375,766.0,758.2717895507812,4566333
2022-10-18,769.8499755859375,785.5999755859375,768.6500244140625,783.1500244140625,775.248779296875,4391263
2022-10-19,787.9500122070312,788.6500244140625,779.5,783.4000244140625,775.4962768554688,5219180
2022-10-20,782.0,794.0,778.2999877929688,792.9000244140625,784.9004516601562,4756732
2022-10-21,790.0,802.8499755859375,789.75,797.4500122070312,789.404541015625,4807736
2022-10-24,800.0,807.5,800.0,802.0999755859375,794.007568359375,522406
2022-10-25,806.1500244140625,806.3499755859375,798.7000122070312,802.2999877929688,794.20556640625,3184277
2022-10-27,806.5,822.2000122070312,804.2000122070312,817.0999755859375,808.8562622070312,8159181
2022-10-28,819.0,824.4000244140625,811.2999877929688,816.8499755859375,808.6087646484375,3905093
2022-10-31,823.0,833.7999877929688,820.0,832.0,823.60595703125,5487233
2022-11-01,828.0,841.4500122070312,821.0499877929688,835.5499877929688,827.1201171875,10488759
2022-11-02,830.0,830.0,807.25,809.8499755859375,801.6793823242188,11729925
2022-11-03,809.75,824.4000244140625,804.2000122070312,818.6500244140625,810.390625,5897840
2022-11-04,815.7000122070312,821.7999877929688,809.2000122070312,816.4000244140625,808.163330078125,3768226
2022-11-07,817.0,824.0499877929688,809.0,822.7000122070312,814.3997192382812,7171570
2022-11-09,824.2000122070312,825.5,814.4500122070312,819.0499877929688,810.7865600585938,3969171
2022-11-10,819.7999877929688,830.7000122070312,817.5499877929688,825.75,817.4190063476562,4425290
2022-11-11,830.75,836.9000244140625,823.7999877929688,826.9000244140625,818.5574340820312,4325441
2022-11-14,818.0,830.7999877929688,817.0,821.9000244140625,813.6078491210938,10406576
2022-11-15,822.6500244140625,838.75,822.6500244140625,835.25,826.8231201171875,6229710
2022-11-16,837.5,844.0499877929688,828.0499877929688,841.2000122070312,832.7130737304688,3445345
2022-11-17,841.7999877929688,849.4000244140625,838.4000244140625,846.1500244140625,837.6132202148438,4545534
2022-11-18,849.9500122070312,851.8499755859375,831.0999755859375,837.2999877929688,828.8524780273438,7405949
2022-11-21,837.0,852.7999877929688,835.0,851.2000122070312,842.6121826171875,5527122
2022-11-22,853.4000244140625,860.5499877929688,845.0999755859375,847.5999755859375,839.0485229492188,7601660
2022-11-23,851.8499755859375,851.8499755859375,841.5999755859375,843.25,834.742431640625,4596816
2022-11-24,846.0,851.0,837.75,848.3499755859375,839.7909545898438,3455310
2022-11-25,852.0,860.0,841.5999755859375,846.8499755859375,838.3060913085938,2991065
2022-11-28,840.25,852.5499877929688,836.0499877929688,837.4000244140625,828.9514770507812,3668846
2022-11-29,839.0,844.7999877929688,835.0,835.8499755859375,827.4170532226562,2680296
2022-11-30,834.7999877929688,852.0,832.5999755859375,848.75,840.1869506835938,6874390
2022-12-01,853.0,853.2000122070312,841.5999755859375,848.5999755859375,840.0383911132812,4506664
2022-12-02,851.4000244140625,851.9500122070312,839.0999755859375,848.6500244140625,840.0879516601562,3505272
2022-12-05,851.0,851.5999755859375,840.8499755859375,844.0999755859375,835.5838012695312,3311316
2022-12-06,844.9000244140625,845.0,829.7000122070312,833.3499755859375,824.9423217773438,5567349
2022-12-07,837.5499877929688,841.5999755859375,832.0,834.0,825.5857543945312,3771882
2022-12-08,833.0,840.2000122070312,826.2999877929688,832.5999755859375,824.1998901367188,4822179
2022-12-09,830.2999877929688,836.5999755859375,823.9500122070312,834.9000244140625,826.4766845703125,4615843
2022-12-12,832.5999755859375,836.9500122070312,825.4000244140625,828.4000244140625,820.042236328125,3149823
2022-12-13,822.0,840.0,822.0,838.0499877929688,829.5948486328125,3832999
2022-12-14,840.6500244140625,842.0,828.1500244140625,829.2000122070312,820.8341674804688,7491333
2022-12-15,829.0,831.0,824.3499755859375,826.3499755859375,818.0128784179688,2996482
2022-12-16,825.0,832.7000122070312,819.9000244140625,822.75,814.4492797851562,4309644
2022-12-19,822.7000122070312,845.0499877929688,822.0,840.4000244140625,831.9212036132812,6397169
2022-12-20,839.75,839.75,822.0,828.9500122070312,820.586669921875,2828863
2022-12-21,833.0,833.0499877929688,812.3499755859375,814.0,805.7875366210938,5079337
2022-12-22,819.0,824.7000122070312,809.5,816.5999755859375,808.3612670898438,3626834
2022-12-23,814.0,817.9500122070312,805.0,808.6500244140625,800.4915161132812,2804496
2022-12-26,805.0499877929688,815.2000122070312,801.1500244140625,811.0,802.8178100585938,6023206
2022-12-27,815.0,819.4500122070312,805.0,814.7999877929688,806.5794067382812,1782053
2022-12-28,813.0,813.9000244140625,801.4500122070312,803.7999877929688,795.6904296875,2907741
2022-12-29,807.0499877929688,824.75,760.0999755859375,820.75,812.4694213867188,6110313
2022-12-30,824.7000122070312,824.7999877929688,804.9500122070312,806.0999755859375,797.9672241210938,3113243
2023-01-02,806.25,816.2000122070312,805.5999755859375,813.5,805.2926025390625,1626846
2023-01-03,810.3499755859375,818.7999877929688,808.5,817.5999755859375,809.3511352539062,1717603
2023-01-04,818.9500122070312,820.4500122070312,806.2000122070312,811.7999877929688,803.6097412109375,2970216
2023-01-05,825.0,825.0,803.75,807.0999755859375,798.9570922851562,5297349
2023-01-06,807.5499877929688,812.25,792.0,796.0,787.9691772460938,3199618
2023-01-09,802.7000122070312,821.5,801.0499877929688,819.4000244140625,811.1331176757812,4340729
2023-01-10,826.0999755859375,826.0999755859375,790.2999877929688,792.8499755859375,784.8508911132812,8392344
2023-01-11,775.0,779.6500244140625,751.6500244140625,765.5499877929688,757.8263549804688,28389020
2023-01-12,765.0,769.2999877929688,753.5499877929688,756.9000244140625,749.263671875,12732671
2023-01-13,757.0,765.9500122070312,752.0,764.2999877929688,756.5889282226562,12279288
